#kNN
#AvgAreaUnderROC	AvgFMeasure	AvgMatthewsCorrelation	AvgAccuracy	AvgBalancedAccuracy
0.931	0.932	0.864	0.996	0.936
0.921	0.922	0.844	0.995	0.926
0.908	0.907	0.815	0.994	0.909
0.916	0.917	0.834	0.995	0.918
0.919	0.916	0.832	0.994	0.914
0.919	0.918	0.835	0.995	0.918
0.91	0.909	0.818	0.994	0.909
0.925	0.924	0.847	0.995	0.924
0.918	0.917	0.833	0.995	0.918
0.916	0.924	0.848	0.995	0.932
0.914	0.913	0.826	0.994	0.913
0.92	0.92	0.84	0.995	0.923
0.92	0.921	0.842	0.995	0.923
0.924	0.919	0.838	0.995	0.914
0.914	0.919	0.839	0.995	0.928
0.919	0.922	0.844	0.995	0.926
0.919	0.923	0.846	0.995	0.931
0.938	0.929	0.858	0.995	0.922
0.892	0.907	0.814	0.994	0.922
0.93	0.915	0.83	0.994	0.904
0.917	0.913	0.825	0.994	0.912
0.931	0.93	0.86	0.995	0.933
0.922	0.912	0.824	0.994	0.905
0.915	0.915	0.831	0.994	0.915
0.922	0.92	0.84	0.995	0.919

#K*
#AvgAreaUnderROC	AvgFMeasure	AvgMatthewsCorrelation	AvgAccuracy	AvgBalancedAccuracy
0.996	0.945	0.892	0.997	0.981
0.995	0.949	0.902	0.997	0.989
0.996	0.936	0.876	0.996	0.976
0.994	0.945	0.894	0.997	0.985
0.995	0.939	0.881	0.996	0.978
0.995	0.943	0.89	0.997	0.984
0.995	0.938	0.88	0.996	0.983
0.995	0.947	0.897	0.997	0.983
0.996	0.945	0.892	0.997	0.978
0.996	0.941	0.886	0.996	0.987
0.995	0.937	0.877	0.996	0.978
0.993	0.947	0.896	0.997	0.983
0.996	0.941	0.884	0.996	0.979
0.996	0.943	0.889	0.997	0.982
0.996	0.947	0.897	0.997	0.986
0.995	0.942	0.888	0.996	0.983
0.994	0.939	0.883	0.996	0.984
0.997	0.962	0.925	0.998	0.988
0.996	0.931	0.867	0.996	0.981
0.994	0.945	0.892	0.997	0.977
0.997	0.942	0.885	0.996	0.969
0.995	0.944	0.892	0.997	0.985
0.996	0.945	0.893	0.997	0.99
0.996	0.944	0.891	0.997	0.988
0.994	0.941	0.885	0.996	0.981

#SVM linear kernel
#AvgAreaUnderROC	AvgFMeasure	AvgMatthewsCorrelation	AvgAccuracy	AvgBalancedAccuracy
0.993	0.939	0.881	0.996	0.978
0.992	0.937	0.879	0.996	0.983
0.992	0.923	0.85	0.995	0.964
0.992	0.926	0.854	0.995	0.957
0.991	0.926	0.854	0.995	0.961
0.992	0.935	0.873	0.996	0.979
0.991	0.927	0.858	0.996	0.971
0.991	0.94	0.883	0.996	0.976
0.994	0.926	0.854	0.995	0.956
0.993	0.925	0.853	0.995	0.963
0.991	0.926	0.857	0.996	0.97
0.988	0.927	0.857	0.996	0.962
0.993	0.933	0.87	0.996	0.973
0.994	0.932	0.868	0.996	0.974
0.994	0.932	0.867	0.996	0.968
0.99	0.928	0.86	0.996	0.975
0.989	0.929	0.862	0.996	0.972
0.995	0.95	0.902	0.997	0.98
0.993	0.917	0.839	0.995	0.963
0.993	0.929	0.86	0.996	0.951
0.996	0.93	0.861	0.996	0.958
0.989	0.934	0.872	0.996	0.976
0.992	0.928	0.86	0.996	0.973
0.991	0.936	0.876	0.996	0.984
0.992	0.924	0.85	0.995	0.957

#SVM rbf kernel
#AvgAreaUnderROC	AvgFMeasure	AvgMatthewsCorrelation	AvgAccuracy	AvgBalancedAccuracy
0.903	0.731	0.536	0.988	0.96
0.92	0.733	0.542	0.988	0.966
0.886	0.749	0.56	0.989	0.951
0.89	0.745	0.56	0.989	0.968
0.896	0.739	0.542	0.988	0.946
0.909	0.744	0.557	0.989	0.965
0.882	0.73	0.534	0.988	0.96
0.903	0.733	0.534	0.988	0.947
0.899	0.718	0.512	0.988	0.951
0.895	0.74	0.551	0.988	0.964
0.89	0.719	0.516	0.988	0.957
0.905	0.729	0.534	0.988	0.962
0.9	0.749	0.565	0.989	0.963
0.904	0.744	0.552	0.988	0.952
0.898	0.753	0.577	0.989	0.98
0.886	0.727	0.526	0.988	0.948
0.896	0.74	0.553	0.988	0.97
0.936	0.746	0.561	0.989	0.965
0.874	0.727	0.528	0.988	0.956
0.908	0.738	0.543	0.988	0.95
0.886	0.736	0.535	0.988	0.938
0.903	0.703	0.492	0.987	0.957
0.902	0.737	0.544	0.988	0.958
0.907	0.735	0.55	0.988	0.981
0.893	0.749	0.559	0.989	0.948

#Naive Bayes
#AvgAreaUnderROC	AvgFMeasure	AvgMatthewsCorrelation	AvgAccuracy	AvgBalancedAccuracy
0.991	0.887	0.781	0.992	0.844
0.99	0.888	0.784	0.992	0.842
0.989	0.871	0.75	0.99	0.825
0.989	0.865	0.74	0.989	0.816
0.988	0.871	0.751	0.99	0.825
0.991	0.884	0.776	0.991	0.838
0.988	0.878	0.761	0.991	0.839
0.988	0.88	0.767	0.991	0.834
0.99	0.858	0.73	0.989	0.805
0.99	0.881	0.77	0.991	0.833
0.989	0.874	0.755	0.99	0.831
0.986	0.873	0.756	0.99	0.826
0.99	0.883	0.773	0.991	0.842
0.991	0.869	0.75	0.99	0.817
0.991	0.882	0.772	0.991	0.836
0.988	0.866	0.74	0.99	0.819
0.985	0.88	0.767	0.991	0.839
0.993	0.895	0.8	0.992	0.846
0.991	0.868	0.743	0.99	0.828
0.99	0.872	0.755	0.99	0.819
0.993	0.878	0.764	0.991	0.833
0.987	0.879	0.764	0.991	0.836
0.99	0.868	0.746	0.99	0.817
0.989	0.881	0.77	0.991	0.837
0.988	0.877	0.763	0.991	0.829

#Decision Tree
#AvgAreaUnderROC	AvgFMeasure	AvgMatthewsCorrelation	AvgAccuracy	AvgBalancedAccuracy
0.94	0.949	0.9	0.997	0.976
0.982	0.953	0.907	0.997	0.979
0.968	0.936	0.875	0.996	0.97
0.966	0.94	0.882	0.996	0.968
0.931	0.943	0.887	0.996	0.972
0.938	0.942	0.888	0.996	0.98
0.922	0.938	0.88	0.996	0.984
0.924	0.945	0.891	0.997	0.971
0.988	0.939	0.88	0.996	0.964
0.946	0.948	0.898	0.997	0.982
0.951	0.94	0.882	0.996	0.975
0.965	0.943	0.888	0.996	0.968
0.923	0.942	0.886	0.996	0.971
0.97	0.944	0.889	0.996	0.963
0.945	0.948	0.9	0.997	0.991
0.913	0.94	0.883	0.996	0.975
0.933	0.94	0.883	0.996	0.981
0.983	0.96	0.92	0.997	0.975
0.914	0.933	0.871	0.996	0.979
0.982	0.949	0.899	0.997	0.974
0.977	0.94	0.881	0.996	0.97
0.938	0.943	0.889	0.997	0.978
0.985	0.947	0.895	0.997	0.974
0.98	0.948	0.899	0.997	0.981
0.941	0.941	0.884	0.996	0.969

